인천공항 일별 시간대별 여객(2016~2019),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
일자,국내/국제,도착/출발,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2016년 09월 04일,국제,출발,746,651,0,0,171,0,157,"1,634","5,314","5,747","7,339","5,030","3,675","5,194","5,763","5,907","3,724","3,294","4,259","5,416","5,970","4,802","3,897","1,041"
2016년 09월 05일,국내,도착,0,0,0,0,0,0,0,296,0,0,0,0,184,0,61,0,0,160,0,0,0,0,0,0
2016년 09월 05일,국내,출발,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,147,68,167,0,0,0,0
2016년 09월 05일,국제,도착,134,119,152,385,"3,048","4,401","5,696","2,940","3,623","2,642","2,145","4,610","3,851","3,766","5,151","4,923","6,620","6,848","4,761","3,895","3,407","2,119","1,318",0
2016년 09월 05일,국제,출발,940,661,0,0,155,0,166,"1,499","5,595","6,809","7,497","4,838","4,068","5,023","4,322","5,578","3,213","3,118","3,699","5,613","6,867","4,139","1,948","1,107"
2016년 09월 06일,국내,도착,0,0,0,0,0,0,0,258,0,0,0,181,0,0,40,0,0,157,0,0,0,0,101,0
2016년 09월 06일,국내,출발,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,223,202,112,0,0,0
2016년 09월 06일,국제,도착,355,176,143,422,"2,442","4,439","5,111","2,375","3,452","1,878","1,467","4,732","3,512","3,288","4,268","4,614","5,520","5,889","4,180","4,054","3,436","2,418","1,035",0
2016년 09월 06일,국제,출발,786,773,0,0,165,0,0,"1,494","4,431","6,676","7,284","3,637","2,598","4,942","4,577","4,517","2,716","3,314","3,455","5,230","4,833","4,255","2,268",892
2016년 09월 07일,국내,도착,0,0,0,0,0,0,0,283,0,0,0,169,0,0,55,0,0,156,0,0,0,0,107,0
2016년 09월 07일,국내,출발,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,143,0,128,152,0,0,0
2016년 09월 07일,국제,도착,0,218,121,451,"2,350","4,249","5,080","3,361","2,523","1,633","2,398","4,129","3,963","3,061","4,290","4,098","6,257","6,998","4,485","3,651","3,007","2,460","1,181",303
2016년 09월 07일,국제,출발,"1,091",677,0,0,153,0,110,"1,235","4,540","7,756","6,437","4,717","3,289","5,023","5,325","5,052","3,137","2,774","4,688","5,247","5,694","4,920","2,716","2,159"
2016년 09월 08일,국내,도착,0,0,0,0,0,0,0,117,184,0,0,184,149,0,0,0,0,186,0,0,0,0,80,0
2016년 09월 08일,국내,출발,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,113,105,290,0,0,0,0
2016년 09월 08일,국제,도착,145,165,121,680,"1,511","4,692","3,984","4,398","2,462","2,221","1,701","4,852","3,108","3,364","4,585","4,150","5,923","6,433","4,104","3,203","3,007","1,491","1,594",59
2016년 09월 08일,국제,출발,943,412,0,0,138,0,83,"1,066","4,551","7,252","6,989","5,016","4,244","5,046","5,640","5,330","3,488","3,385","3,633","5,936","6,707","5,392","2,568","1,115"
2016년 09월 09일,국내,도착,0,0,0,0,0,0,0,183,77,0,0,178,0,0,126,0,0,220,0,0,0,0,0,0
2016년 09월 09일,국내,출발,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,150,106,303,0,0,0,0
2016년 09월 09일,국제,도착,182,0,126,233,"3,415","4,087","4,556","3,036","3,412","1,550","2,044","4,402","3,786","3,791","4,576","4,709","6,165","6,931","4,621","4,283","3,452","3,143","1,360",49
2016년 09월 09일,국제,출발,"1,163",794,0,0,174,0,0,"1,646","5,504","7,646","7,062","5,637","3,878","6,109","6,076","4,835","5,026","3,431","4,804","6,676","6,175","5,425","2,827","1,159"
2016년 09월 10일,국내,도착,0,0,0,0,0,0,0,0,369,0,0,181,0,0,62,0,0,213,0,0,0,0,74,60
2016년 09월 10일,국내,출발,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,169,517,0,0,0,0
2016년 09월 10일,국제,도착,258,0,310,492,"2,323","4,514","3,458","4,674","3,116","2,166","1,807","4,735","3,246","3,099","4,973","4,535","6,289","7,519","3,874","3,334","3,123","2,111","1,541",206
2016년 09월 10일,국제,출발,"1,239",683,0,0,171,0,124,"1,344","5,405","8,253","8,312","5,615","5,293","6,178","5,282","6,027","3,196","3,459","4,572","6,536","7,105","4,916","3,173","1,008"
2016년 09월 11일,국내,도착,0,0,0,0,0,0,0,0,298,0,0,184,0,0,0,0,0,170,0,0,0,0,222,0
2016년 09월 11일,국내,출발,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,185,129,280,117,0,0,0
2016년 09월 11일,국제,도착,0,99,142,517,703,"5,511","4,550","4,049","2,325","2,973",870,"4,366","3,641","3,717","4,393","5,383","6,047","7,649","4,832","3,581","3,320","2,996","1,019",450
2016년 09월 11일,국제,출발,"1,491",681,0,0,0,172,115,"1,073","5,149","7,300","8,856","5,719","3,023","6,187","5,750","5,096","5,531","3,864","5,133","5,774","6,962","5,267","4,330","1,839"
2016년 09월 12일,국내,도착,0,0,0,0,0,0,0,68,99,0,0,0,165,0,79,0,0,211,0,0,0,0,0,136
2016년 09월 12일,국내,출발,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,142,75,156,85,0,0,0
2016년 09월 12일,국제,도착,95,216,159,413,"2,080","4,707","3,913","3,447","2,411","1,698","1,716","3,757","1,795","3,458","4,013","3,949","5,814","5,067","4,295","3,050","2,355","1,711",877,304
2016년 09월 12일,국제,출발,505,658,0,0,167,0,132,"1,617","5,381","6,714","7,883","4,778","3,146","4,526","5,268","6,145","4,398","2,594","5,437","5,753","6,223","5,687","2,550","1,177"
2016년 09월 13일,국내,도착,0,0,0,0,0,0,0,94,147,0,0,178,0,0,94,0,0,275,0,0,188,0,157,0
2016년 09월 13일,국내,출발,0,0,0,0,0,0,0,0,216,0,0,245,0,0,0,0,0,179,118,324,132,0,0,0
2016년 09월 13일,국제,도착,183,180,152,315,"2,319","3,914","4,318","1,566","2,771","1,263",938,"3,380","2,436","2,892","3,506","4,114","5,327","5,440","3,698","3,563","3,142","2,132","1,446",166
2016년 09월 13일,국제,출발,"1,223",789,0,0,173,0,0,"1,820","5,301","9,207","7,734","4,054","3,216","5,630","5,383","5,743","4,451","3,035","4,798","6,571","7,170","5,839","2,880","1,759"
2016년 09월 14일,국내,도착,0,0,0,0,0,0,0,361,0,196,0,147,0,0,92,0,200,98,0,0,158,0,94,0
2016년 09월 14일,국내,출발,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,156,331,129,0,0,0
2016년 09월 14일,국제,도착,438,0,171,218,"1,819","5,209","3,788","2,998","2,853","2,689","1,633","3,643","3,610","2,891","3,926","3,637","5,316","5,819","3,542","3,306","3,551","4,383","1,662",591
2016년 09월 14일,국제,출발,"1,578",408,175,0,179,0,"1,882","3,585","6,302","7,639","6,921","7,103","5,202","6,240","7,087","5,782","4,700","4,139","4,506","5,449","5,710","5,829","3,957","4,504"
2016년 09월 15일,국내,도착,0,0,0,0,0,0,0,237,0,0,0,147,0,0,0,0,0,378,0,0,0,0,134,0
2016년 09월 15일,국내,출발,0,0,0,0,0,0,0,99,84,80,0,0,0,0,0,0,0,67,54,344,0,0,0,0
2016년 09월 15일,국제,도착,192,0,437,569,"1,701","4,052","3,923","4,443","2,526","2,331","2,992","4,212","3,557","2,994","3,738","5,241","6,405","5,011","5,196","3,891","3,970","2,516","1,800",530
2016년 09월 15일,국제,출발,"2,312",532,0,0,281,0,315,"2,481","5,034","6,480","5,613","5,398","4,265","4,327","4,937","5,002","3,107","2,623","4,380","4,658","4,213","4,767","3,393","1,995"
2016년 09월 16일,국내,도착,0,0,0,0,0,0,0,284,0,0,0,177,0,0,117,0,140,144,0,0,0,0,0,0
2016년 09월 16일,국내,출발,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,149,82,211,0,0,0,0
2016년 09월 16일,국제,도착,0,0,174,229,"2,777","5,011","4,359","3,817","3,939","2,588","1,705","5,454","4,587","4,534","5,271","4,997","8,474","6,965","5,879","4,966","4,012","3,189","1,635",427
2016년 09월 16일,국제,출발,511,672,0,0,171,0,0,"1,704","5,525","6,107","5,927","4,618","3,495","3,774","5,098","4,829","2,459","3,444","3,254","5,227","6,111","3,866","1,849",834
2016년 09월 17일,국내,도착,0,0,0,0,0,0,0,0,264,353,0,137,0,0,80,0,0,114,301,0,0,0,247,369
2016년 09월 17일,국내,출발,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,187,0,115,418,0,0,0
2016년 09월 17일,국제,도착,156,191,719,0,"3,057","5,381","4,969","4,761","4,355","3,013","2,100","6,126","4,728","3,802","5,575","5,610","7,989","8,295","7,089","5,370","5,582","3,383","3,850",522
2016년 09월 17일,국제,출발,839,537,0,0,137,0,0,"1,419","3,639","4,384","6,185","3,916","2,990","4,531","4,142","4,086","2,671","2,971","2,952","4,174","5,528","3,460","3,361","1,443"
2016년 09월 18일,국내,도착,0,0,0,0,0,0,0,386,150,0,0,174,0,0,0,0,0,249,0,0,171,0,224,0
2016년 09월 18일,국내,출발,0,0,0,0,0,0,0,0,95,134,0,0,0,0,0,0,0,187,133,591,0,0,0,0
2016년 09월 18일,국제,도착,436,303,169,687,"3,099","7,093","5,379","6,178","3,883","3,625","3,943","5,608","5,865","5,427","6,501","6,212","9,057","9,012","6,742","4,929","6,348","3,641","2,983","1,464"
2016년 09월 18일,국제,출발,"1,389",503,0,282,156,0,169,"1,969","3,975","5,212","5,857","4,965","3,568","5,400","4,074","4,275","3,832","4,025","3,031","4,295","4,444","3,848","2,236","2,057"
2016년 09월 19일,국내,도착,0,0,0,0,0,0,0,134,250,0,0,183,0,0,126,0,0,201,0,0,0,0,0,0
2016년 09월 19일,국내,출발,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,155,118,287,0,0,0,0
2016년 09월 19일,국제,도착,271,154,177,958,"2,135","5,805","5,873","5,018","3,991","3,470","1,655","6,393","4,126","5,083","5,435","5,368","8,052","7,960","6,828","4,474","4,919","2,877","1,541",456
2016년 09월 19일,국제,출발,"1,147",552,0,0,229,0,0,"1,594","5,029","6,365","6,425","4,209","3,057","5,036","4,392","5,234","2,641","2,760","3,488","5,298","5,873","3,731","2,402",516
2016년 09월 20일,국내,도착,0,0,0,0,0,0,0,130,205,0,0,185,0,0,94,0,0,181,0,0,0,74,0,0
2016년 09월 20일,국내,출발,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,157,85,165,158,0,0,0
2016년 09월 20일,국제,도착,438,190,423,573,"2,328","5,769","4,829","4,152","3,595","1,995","1,589","5,454","4,427","4,495","3,974","6,522","6,594","8,163","4,095","4,061","4,827","1,850","2,119",509
2016년 09월 20일,국제,출발,"1,268",664,0,0,126,0,104,"1,260","4,234","7,320","6,644","3,199","2,426","4,304","4,696","4,878","2,479","2,593","3,819","4,415","4,218","3,644","1,421",747
2016년 09월 21일,국내,도착,0,0,0,0,0,0,0,208,161,0,0,185,0,0,122,0,0,229,0,0,0,0,30,0
2016년 09월 21일,국내,출발,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,179,0,198,186,0,0,0
2016년 09월 21일,국제,도착,674,0,157,583,"2,073","6,317","4,257","4,183","2,668","1,422","2,158","5,200","4,057","3,312","5,352","5,757","7,197","7,754","4,502","4,239","3,498","2,768","1,447",87
2016년 09월 21일,국제,출발,"1,078",736,0,0,81,0,0,"1,160","4,664","7,496","6,427","4,026","2,886","4,730","4,233","4,701","2,625","3,120","3,570","5,722","5,377","4,518","2,316","1,451"
2016년 09월 22일,국내,도착,0,0,0,0,0,0,0,379,0,0,0,185,0,0,0,0,0,190,0,0,0,0,56,0
2016년 09월 22일,국내,출발,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,140,73,252,150,0,0,0
2016년 09월 22일,국제,도착,485,0,168,723,"2,302","3,876","4,830","2,661","2,534","2,266","2,008","6,032","3,758","4,424","3,976","5,683","5,955","8,314","4,704","3,381","3,056","2,605","1,165",101
2016년 09월 22일,국제,출발,"1,102",681,0,0,129,0,43,"1,142","4,653","6,781","7,446","3,983","3,631","4,472","4,808","4,614","4,020","2,226","4,295","5,626","5,325","4,173","2,031","1,032"
2016년 09월 23일,국내,도착,0,0,0,0,0,0,0,108,259,0,0,189,0,0,79,0,0,183,0,0,0,0,0,0
2016년 09월 23일,국내,출발,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,132,76,138,125,0,0,0
2016년 09월 23일,국제,도착,397,0,165,244,"2,822","5,041","3,816","2,919","3,038","1,759","1,904","4,400","3,830","4,029","4,997","5,701","6,904","7,566","4,431","4,651","3,384","2,455","1,229",82
2016년 09월 23일,국제,출발,"1,426",763,0,0,141,0,78,"1,625","5,786","7,506","6,777","4,131","3,762","5,585","5,426","5,602","3,667","2,781","4,208","6,738","5,243","5,547","2,913",778
2016년 09월 24일,국내,도착,0,0,0,0,0,0,0,332,0,0,0,173,0,0,69,0,0,234,0,0,0,0,70,0
2016년 09월 24일,국내,출발,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,186,0,148,215,0,0,0
2016년 09월 24일,국제,도착,269,191,169,432,"2,677","5,220","4,442","4,133","2,940","2,084","2,476","5,535","3,763","3,818","5,210","5,447","5,832","7,717","5,546","4,313","3,798","1,845","1,547",206
2016년 09월 24일,국제,출발,"1,237",681,0,0,151,0,82,"1,330","5,387","8,419","7,779","3,832","3,537","5,256","5,124","5,222","3,783","2,928","4,012","5,975","6,551","4,169","3,391","1,226"
2016년 09월 25일,국내,도착,0,0,0,0,0,0,0,80,176,0,0,187,0,0,0,63,0,248,0,0,0,0,255,0
2016년 09월 25일,국내,출발,0,0,0,0,0,0,0,20,177,0,0,0,0,0,0,0,0,165,125,295,190,0,0,0
2016년 09월 25일,국제,도착,193,0,155,415,"2,183","5,890","4,652","3,709","2,764","2,157","2,791","4,998","5,350","4,199","4,715","6,427","7,938","9,567","4,629","4,629","4,528","4,191","1,646",335
2016년 09월 25일,국제,출발,"1,283",671,0,0,139,0,214,"1,604","5,545","7,661","7,879","3,978","3,782","5,425","5,949","5,597","4,036","4,226","4,242","6,978","5,895","5,346","3,846","2,010"
2016년 09월 26일,국내,도착,0,0,0,0,0,0,0,169,203,0,0,0,185,0,128,0,0,204,0,0,0,0,0,0
2016년 09월 26일,국내,출발,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,138,0,202,161,0,0,0
2016년 09월 26일,국제,도착,395,166,0,197,"2,641","5,219","4,601","4,258","2,567","2,560","1,558","4,870","4,259","3,127","5,454","5,973","6,426","7,629","6,107","3,350","4,077","2,890","1,343",121
2016년 09월 26일,국제,출발,783,407,0,0,224,0,141,"1,736","5,447","8,057","7,759","4,801","3,813","4,663","5,139","5,013","3,405","3,015","4,337","5,893","6,382","5,060","2,678",911
2016년 09월 27일,국내,도착,0,0,0,0,0,0,0,200,79,0,0,185,0,0,69,0,0,169,0,0,0,0,76,0
2016년 09월 27일,국내,출발,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,155,97,181,163,0,0,0
2016년 09월 27일,국제,도착,377,161,154,735,"1,891","5,143","3,606","3,544","2,772","1,897","1,675","4,273","4,407","3,733","3,870","5,051","5,391","6,392","5,116","3,294","3,358","2,044",605,774
2016년 09월 27일,국제,출발,901,804,0,0,129,0,83,"1,418","4,673","7,132","6,846","2,817","2,908","4,448","5,684","4,813","3,206","2,433","3,613","5,120","5,438","4,453","2,169","1,043"
2016년 09월 28일,국내,도착,0,0,0,0,0,0,0,0,298,0,0,188,0,0,71,0,0,179,0,0,0,0,0,0
2016년 09월 28일,국내,출발,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,153,0,124,252,0,0,0
2016년 09월 28일,국제,도착,263,0,354,264,"2,818","4,020","4,837","3,696","2,492","1,921","1,927","4,533","2,759","4,268","4,578","6,109","6,129","6,588","5,313","3,648","3,494","2,471","2,114",117
2016년 09월 28일,국제,출발,"1,121",653,0,304,148,0,65,"1,241","5,201","6,499","6,546","5,380","4,175","5,376","5,222","4,111","5,149","3,193","3,916","6,566","5,441","5,390","2,924","2,727"
2016년 09월 29일,국내,도착,0,0,0,0,0,0,0,71,168,0,0,0,186,0,0,0,0,131,50,0,0,0,85,0
2016년 09월 29일,국내,출발,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,160,94,162,359,0,0,0
2016년 09월 29일,국제,도착,265,266,175,594,"2,090","4,592","4,616","3,553","2,937","1,831","1,283","4,883","4,103","4,542","4,271","5,893","5,778","6,362","5,085","4,481","4,164","4,320","1,095",278
2016년 09월 29일,국제,출발,"1,273",406,263,0,165,0,93,"1,364","4,913","8,408","7,340","3,599","3,231","5,520","4,447","5,295","4,944","2,750","3,913","5,968","5,342","4,770","4,451","3,245"
2016년 09월 30일,국내,도착,0,0,0,0,0,0,0,0,337,0,0,0,185,0,0,116,0,137,59,0,0,0,0,246
2016년 09월 30일,국내,출발,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,183,130,0,372,0,0,0
2016년 09월 30일,국제,도착,455,0,170,475,"2,125","4,820","4,386","3,350","3,061","2,753","2,282","4,342","4,955","3,914","5,357","6,528","7,581","7,707","5,912","3,852","5,057","3,602","1,521",285
2016년 09월 30일,국제,출발,"1,343",761,0,0,176,0,0,"1,465","6,737","7,311","7,585","5,019","4,213","5,291","6,070","5,515","4,562","4,408","4,289","6,232","7,558","5,274","4,055","1,752"
2016년 10월 01일,국내,도착,0,0,0,0,0,0,0,195,161,0,0,178,0,0,61,0,0,249,0,0,0,0,106,0
2016년 10월 01일,국내,출발,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,170,0,674,0,0,0,0
2016년 10월 01일,국제,도착,274,154,154,460,"2,727","5,102","5,355","3,404","3,201","2,651","3,262","4,773","4,458","4,273","5,209","6,080","6,808","7,530","5,047","5,519","3,798","3,682","1,434",44
2016년 10월 01일,국제,출발,"1,520",409,0,0,175,0,0,"1,912","5,957","8,951","6,616","5,509","4,625","5,246","5,544","5,460","3,961","2,963","5,186","5,908","6,495","5,226","4,551","1,545"
2016년 10월 02일,국내,도착,0,0,0,0,0,0,0,236,0,0,0,174,0,0,0,0,0,133,75,0,0,0,0,997
2016년 10월 02일,국내,출발,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,174,0,125,477,0,0
2016년 10월 02일,국제,도착,261,0,167,574,"2,651","5,247","5,710","2,992","2,615","2,137","3,658","3,838","4,941","4,788","6,400","5,179","7,370","6,724","4,336","4,213","3,679","5,782","2,974","1,199"
2016년 10월 02일,국제,출발,"1,272",675,0,0,153,0,152,"1,754","4,537","6,307","8,004","4,724","2,750","4,534","4,472","4,900","4,347","2,626","1,891","2,765","4,145","5,258","5,047","3,718"
2016년 10월 03일,국내,도착,0,0,0,0,0,0,0,85,161,0,0,497,256,0,50,0,0,218,0,0,0,250,0,0
2016년 10월 03일,국내,출발,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,169,85,134,188,0,0,0
2016년 10월 03일,국제,도착,260,0,173,703,"1,263","3,694","5,524","3,946","4,250","3,578","3,497","5,497","4,718","5,088","5,556","7,222","8,581","7,232","6,328","4,467","5,068","3,342","1,978",539
2016년 10월 03일,국제,출발,"3,650","1,388",0,0,87,150,157,"1,352","4,010","5,741","6,063","4,468","3,538","4,525","4,709","4,484","3,386","2,922","3,658","4,731","6,140","3,339","2,569","1,417"
2016년 10월 04일,국내,도착,0,0,0,0,0,0,0,134,168,0,0,182,0,0,76,0,0,148,0,0,0,0,177,82
2016년 10월 04일,국내,출발,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,152,118,264,157,0,0,0
2016년 10월 04일,국제,도착,264,190,398,773,"2,694","6,321","5,806","3,229","2,858","2,365","2,083","5,620","4,256","4,350","3,927","5,378","6,858","6,535","7,606","4,338","4,988","3,300","1,243",722
2016년 10월 04일,국제,출발,"1,066",341,0,0,147,0,112,"1,471","4,940","6,913","6,580","2,589","2,879","3,894","5,744","4,304","2,449","3,027","3,608","4,045","5,736","4,027","2,576","1,085"
2016년 10월 05일,국내,도착,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,132,0,0,66,0,0,85,0
2016년 10월 05일,국내,출발,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,175,0,87,366,0,0,0
2016년 10월 05일,국제,도착,274,179,169,568,"2,189","4,909","5,804","4,964","3,001","2,528","2,256","4,794","4,556","2,935","5,138","6,334","7,865","5,284","5,143","3,576","3,877","3,794","1,483",328
2016년 10월 05일,국제,출발,496,569,147,0,148,0,54,869,"4,646","7,803","6,563","4,913","2,421","4,573","5,324","4,324","4,293","3,327","3,104","4,839","5,767","4,626","3,127","1,929"
2016년 10월 06일,국내,도착,0,0,0,0,0,0,0,0,269,43,0,179,0,0,0,0,0,142,27,0,0,0,163,0
2016년 10월 06일,국내,출발,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,156,63,371,0,0,0,0
2016년 10월 06일,국제,도착,187,167,0,596,"2,055","4,044","6,137","3,483","2,873","2,899","1,790","5,427","3,161","2,860","4,527","4,261","6,241","6,731","4,999","4,075","2,778","2,768","1,121",342
2016년 10월 06일,국제,출발,"1,115",406,0,0,173,0,41,"1,307","4,539","8,176","6,659","4,623","3,931","5,223","4,827","5,402","4,042","2,156","4,103","4,875","6,235","5,275","1,938","1,741"
2016년 10월 07일,국내,도착,0,0,0,0,0,0,0,0,332,0,0,185,0,0,65,0,0,196,0,0,0,0,0,319
2016년 10월 07일,국내,출발,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,159,97,0,277,0,0,0
2016년 10월 07일,국제,도착,47,0,179,616,"1,795","5,293","5,326","3,588","3,071","2,185","1,358","4,299","4,370","3,560","3,750","5,742","6,958","7,334","4,265","4,275","2,671","3,395","1,461",529
2016년 10월 07일,국제,출발,"1,230",742,40,0,181,0,59,"1,401","5,069","8,270","7,713","4,943","3,798","5,432","5,122","5,107","5,467","2,552","3,222","6,653","5,053","5,917","3,211","1,923"
2016년 10월 08일,국내,도착,0,0,0,0,0,0,0,157,175,0,0,185,0,0,107,0,0,214,0,0,0,0,41,0
2016년 10월 08일,국내,출발,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,184,0,183,230,0,0,0
2016년 10월 08일,국제,도착,32,0,171,366,"2,228","5,471","5,115","3,212","3,231","3,033","1,745","5,395","3,160","3,644","4,189","6,205","6,331","7,396","4,950","3,622","3,198","3,393","1,062",99
2016년 10월 08일,국제,출발,890,626,0,0,175,0,0,"1,516","5,880","8,142","6,551","4,963","3,968","5,429","5,028","4,615","3,316","2,752","3,701","5,648","6,324","4,355","3,359",800
2016년 10월 09일,국내,도착,0,0,0,0,0,0,0,322,0,0,0,0,190,0,0,0,0,239,0,0,0,0,253,186
2016년 10월 09일,국내,출발,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,168,128,325,202,0,0,0
2016년 10월 09일,국제,도착,60,0,114,869,"2,340","5,283","4,664","4,308","2,859","2,878","2,124","4,222","3,806","4,143","4,004","5,196","9,303","7,541","3,945","3,754","4,392","3,638","1,713",562
2016년 10월 09일,국제,출발,"1,594",395,0,0,134,0,74,"1,941","4,842","8,373","6,757","4,739","3,603","4,793","5,265","5,326","4,571","2,415","4,682","5,330","5,280","4,758","4,370","1,280"
2016년 10월 10일,국내,도착,0,0,0,0,0,0,0,363,0,0,0,189,0,0,109,0,0,178,0,0,0,0,0,0
2016년 10월 10일,국내,출발,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,135,80,71,125,0,0,0
2016년 10월 10일,국제,도착,358,0,150,912,"2,681","4,029","4,741","4,154","3,550","2,404","2,123","4,673","3,443","3,909","5,063","4,438","7,845","7,286","3,565","4,228","3,311","2,531",847,436
2016년 10월 10일,국제,출발,"1,316",396,0,0,501,0,167,"1,671","5,561","8,247","7,309","5,090","4,398","5,732","5,064","6,604","3,182","3,527","3,395","5,231","6,248","4,548","3,769","1,194"
2016년 10월 11일,국내,도착,0,0,0,0,0,0,0,106,273,0,0,0,189,0,55,0,0,158,0,0,0,0,0,0
2016년 10월 11일,국내,출발,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,141,67,62,127,0,0,0
2016년 10월 11일,국제,도착,51,0,123,259,"2,965","4,503","5,036","2,701","3,428","1,749","1,319","5,045","2,441","3,868","3,397","5,344","6,364","6,471","4,192","3,434","3,172","2,413",937,338
2016년 10월 11일,국제,출발,"1,004",611,0,0,173,0,0,"1,398","4,740","8,097","6,704","4,734","3,220","5,237","5,189","4,796","2,561","2,770","4,277","5,004","5,566","4,107","2,214",400
2016년 10월 12일,국내,도착,0,0,0,0,0,0,0,209,154,0,0,188,0,0,109,0,0,182,0,0,0,0,94,0
2016년 10월 12일,국내,출발,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,176,0,385,0,0,0,0
2016년 10월 12일,국제,도착,284,0,0,711,"2,872","3,843","5,011","3,114","2,960","2,136","1,270","4,792","3,693","3,529","4,085","5,000","6,256","6,281","3,960","3,205","2,862","2,196",931,379
2016년 10월 12일,국제,출발,"1,073",502,0,0,150,0,116,"1,589","5,501","7,867","7,209","4,710","2,969","4,693","5,799","5,279","2,934","2,598","3,416","6,078","6,553","4,980","2,513","1,135"
2016년 10월 13일,국내,도착,0,0,0,0,0,0,0,77,165,0,0,184,0,0,0,0,0,170,0,0,0,0,91,0
2016년 10월 13일,국내,출발,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,89,104,262,162,0,0,0
2016년 10월 13일,국제,도착,90,0,159,876,"1,630","4,721","4,352","3,455","2,934","2,119","1,788","4,705","3,085","3,504","3,663","4,208","7,317","6,401","4,481","3,620","3,528","2,620",966,131
2016년 10월 13일,국제,출발,"1,181",552,0,0,163,0,0,"1,383","5,478","7,739","7,363","4,572","3,766","5,047","5,175","4,821","3,469","2,221","3,762","5,548","6,546","4,676","3,099",802
2016년 10월 14일,국내,도착,0,0,0,0,0,0,0,180,125,0,0,183,0,0,89,0,0,176,0,0,0,0,0,0
2016년 10월 14일,국내,출발,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,170,132,0,371,0,0,0
2016년 10월 14일,국제,도착,94,0,159,837,"2,624","4,399","5,472","3,104","3,681","2,333","1,466","4,400","4,258","4,160","4,633","5,511","9,541","6,536","5,156","3,850","3,537","2,997","1,021",257
2016년 10월 14일,국제,출발,"1,290",739,0,0,169,0,109,"1,330","5,381","8,046","7,887","4,993","3,511","5,277","5,561","5,486","4,259","3,419","4,215","6,026","6,976","5,035","2,908",708
2016년 10월 15일,국내,도착,0,0,0,0,0,0,0,112,120,0,0,0,175,0,60,0,0,249,0,0,0,0,139,0
2016년 10월 15일,국내,출발,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,164,0,439,0,0,0,0
2016년 10월 15일,국제,도착,252,0,176,575,"2,800","5,289","5,089","3,195","3,640","2,902","1,787","5,756","3,838","3,741","5,081","5,348","7,647","8,520","5,120","4,305","3,874","3,383","1,092",160
2016년 10월 15일,국제,출발,"1,013",678,0,0,167,0,0,"1,447","5,048","8,434","8,400","4,113","4,322","5,381","4,393","5,411","3,764","2,259","4,313","6,466","5,969","5,065","3,048","1,521"
2016년 10월 16일,국내,도착,0,0,0,0,0,0,0,0,286,0,0,184,0,0,0,0,0,139,105,0,0,0,265,0
