Year,Month,Day,Count,distance2018,temperture2018,windpower2018
2018,1,1,1,10000.0,-3.4799999999999995,0.8
2018,1,1,2,10000.0,-2.0500000000000003,1.6666666666666667
2018,1,1,3,10000.0,2.5,3.333333333333333
2018,1,1,4,10000.0,-0.6666666666666666,1.5
2018,1,2,1,9500.0,-3.25,2.333333333333333
2018,1,2,2,9666.666666666666,-1.7333333333333332,4.0
2018,1,2,3,10000.0,0.9000000000000002,10.666666666666666
2018,1,2,4,10000.0,-2.1666666666666665,10.333333333333334
2018,1,3,1,10000.0,-4.683333333333334,9.333333333333334
2018,1,3,2,10000.0,-5.116666666666666,7.333333333333333
2018,1,3,3,10000.0,-2.233333333333334,10.833333333333334
2018,1,3,4,10000.0,-3.8166666666666655,9.5
2018,1,4,1,10000.0,-6.05,8.666666666666666
2018,1,4,2,10000.0,-5.966666666666666,5.666666666666667
2018,1,4,3,10000.0,-3.6,4.666666666666667
2018,1,4,4,10000.0,-3.616666666666666,2.6666666666666665
2018,1,5,1,10000.0,-4.783333333333332,2.333333333333333
2018,1,5,2,10000.0,-3.1,2.833333333333333
2018,1,5,3,10000.0,-0.8333333333333334,7.833333333333333
2018,1,5,4,10000.0,-2.4,3.8333333333333335
2018,1,6,1,10000.0,-4.633333333333334,5.833333333333333
2018,1,6,2,10000.0,-3.266666666666666,6.166666666666667
2018,1,6,3,10000.0,0.4166666666666667,6.833333333333333
2018,1,6,4,10000.0,-1.3666666666666665,3.333333333333333
2018,1,7,1,10000.0,-4.533333333333333,4.333333333333333
2018,1,7,2,8166.666666666667,-3.633333333333333,5.0
2018,1,7,3,8333.333333333334,0.9333333333333332,4.666666666666667
2018,1,7,4,7833.333333333333,0.4499999999999999,4.0
2018,1,8,1,9666.666666666666,0.3999999999999999,4.5
2018,1,8,2,10000.0,1.1166666666666667,1.8333333333333333
2018,1,8,3,8666.666666666666,2.6666666666666665,5.333333333333333
2018,1,8,4,4366.666666666667,0.9166666666666666,21.5
2018,1,9,1,7083.333333333333,-2.733333333333333,18.166666666666668
2018,1,9,2,10000.0,-3.916666666666666,13.5
2018,1,9,3,10000.0,-2.1166666666666667,11.166666666666666
2018,1,9,4,9666.666666666666,-3.85,4.0
2018,1,10,1,7000.0,-5.699999999999999,8.833333333333334
2018,1,10,2,10000.0,-5.8500000000000005,12.0
2018,1,10,3,10000.0,-5.483333333333333,17.0
2018,1,10,4,10000.0,-8.049999999999999,14.166666666666666
2018,1,11,1,10000.0,-9.55,14.333333333333334
2018,1,11,2,10000.0,-9.95,11.0
2018,1,11,3,10000.0,-9.216666666666669,12.833333333333334
2018,1,11,4,10000.0,-11.083333333333334,12.166666666666666
2018,1,12,1,10000.0,-12.366666666666667,9.0
2018,1,12,2,10000.0,-12.533333333333331,4.5
2018,1,12,3,10000.0,-7.783333333333334,3.333333333333333
