Year,Month,Day,Count,distance2016,temperture2016,windpower2016
2016,1,1,1,5800.0,-2.3600000000000003,2.2
2016,1,1,2,2883.333333333333,0.2999999999999999,5.0
2016,1,1,3,8500.0,4.6000000000000005,7.333333333333333
2016,1,1,4,10000.0,5.916666666666667,7.166666666666667
2016,1,2,1,10000.0,6.6000000000000005,6.5
2016,1,2,2,7000.0,5.433333333333334,9.666666666666666
2016,1,2,3,7333.333333333333,9.583333333333334,8.0
2016,1,2,4,4733.333333333333,8.299999999999999,4.333333333333333
2016,1,3,1,558.3333333333334,5.15,2.5
2016,1,3,2,316.6666666666667,3.883333333333333,2.333333333333333
2016,1,3,3,1783.3333333333333,6.016666666666666,2.5
2016,1,3,4,1516.6666666666667,4.683333333333334,3.5
2016,1,4,1,1966.6666666666667,3.9,6.833333333333333
2016,1,4,2,3916.6666666666665,2.0,9.833333333333334
2016,1,4,3,9500.0,3.083333333333333,12.166666666666666
2016,1,4,4,10000.0,-0.0499999999999999,9.333333333333334
2016,1,5,1,10000.0,-2.1,9.166666666666666
2016,1,5,2,10000.0,-3.1,6.666666666666667
2016,1,5,3,10000.0,-0.7166666666666667,7.833333333333333
2016,1,5,4,10000.0,-2.566666666666667,3.0
2016,1,6,1,10000.0,-2.966666666666667,3.5
2016,1,6,2,10000.0,-0.9833333333333332,4.5
2016,1,6,3,10000.0,1.7833333333333334,5.166666666666667
2016,1,6,4,10000.0,-0.6666666666666666,9.166666666666666
2016,1,7,1,10000.0,-3.0666666666666664,9.666666666666666
2016,1,7,2,10000.0,-3.2500000000000004,7.333333333333333
2016,1,7,3,10000.0,-0.8166666666666668,8.5
2016,1,7,4,10000.0,-2.4,8.5
2016,1,8,1,10000.0,-4.916666666666667,2.6666666666666665
2016,1,8,2,10000.0,-4.316666666666666,3.5
2016,1,8,3,10000.0,0.1833333333333333,6.166666666666667
2016,1,8,4,10000.0,-0.6666666666666666,7.166666666666667
2016,1,9,1,9666.666666666666,-3.933333333333333,4.333333333333333
2016,1,9,2,10000.0,-2.8666666666666667,3.6666666666666665
2016,1,9,3,10000.0,0.6999999999999998,5.333333333333333
2016,1,9,4,10000.0,0.2833333333333333,3.333333333333333
2016,1,10,1,10000.0,2.3000000000000003,7.833333333333333
2016,1,10,2,10000.0,1.2,7.333333333333333
2016,1,10,3,10000.0,2.75,7.666666666666667
2016,1,10,4,10000.0,-1.0666666666666669,5.666666666666667
2016,1,11,1,10000.0,-4.083333333333333,6.833333333333333
2016,1,11,2,10000.0,-3.966666666666667,5.833333333333333
2016,1,11,3,10000.0,-1.6666666666666667,8.166666666666666
2016,1,11,4,10000.0,-4.116666666666666,8.5
2016,1,12,1,10000.0,-6.583333333333335,4.5
2016,1,12,2,10000.0,-5.466666666666668,5.333333333333333
2016,1,12,3,10000.0,-2.333333333333333,8.5
2016,1,12,4,10000.0,-3.3833333333333333,11.166666666666666
2016,1,13,1,10000.0,-6.433333333333334,3.5
2016,1,13,2,10000.0,-4.500000000000001,2.333333333333333
2016,1,13,3,4300.0,-1.65,8.0
2016,1,13,4,10000.0,-2.95,13.333333333333334
2016,1,14,1,10000.0,-6.683333333333334,4.166666666666667
2016,1,14,2,10000.0,-5.866666666666667,4.0
2016,1,14,3,10000.0,-1.5333333333333334,5.333333333333333
2016,1,14,4,5366.666666666667,-0.8999999999999999,4.333333333333333
2016,1,15,1,7500.0,-1.8333333333333333,4.166666666666667
2016,1,15,2,8833.333333333334,-2.416666666666667,4.666666666666667
2016,1,15,3,10000.0,2.266666666666666,5.0
2016,1,15,4,8833.333333333334,-0.6000000000000001,4.166666666666667
2016,1,16,1,7000.0,-2.0333333333333337,6.166666666666667
2016,1,16,2,5250.0,-0.0499999999999999,6.666666666666667
2016,1,16,3,5166.666666666667,3.483333333333334,5.666666666666667
2016,1,16,4,3766.6666666666665,0.1166666666666667,5.166666666666667
2016,1,17,1,2750.0,-1.0666666666666669,6.166666666666667
2016,1,17,2,3200.0,0.2166666666666666,6.0
